Name,New Code,GCSE_Score,Density,Eng_HH,Lone_Parent,House_Price,Income,Qual_Level4,Out_Work_Fam,Absence,Crime,Bad_Health,Happiness,Green_Space,PTAL,Cars_HH,Deprivation
City of London,E09000001,354.5,2312.5,3862,153,765000.0,99390.0,68.4,9.5,0.7,680.7206306,3.4,7.64033206,18.62901421,7.9,0.385860889,12.12490568
Abbey,E05000026,317.6577586,9884.615385,3397,648,173000.0,38870.0,34.5,22.07792208,1.356022267,142.2128464,4.3,7.897959184,21.90860132,5.989364918,0.54768154,32.72612716
Alibon,E05000027,307.4457317,7464.285714,3656,832,215000.0,37290.0,16.7,24.71428571,1.489165819,75.6896058,6.7,7.358842142,20.62184945,3.145890095,0.815159909,36.06622536
Becontree,E05000028,295.4513812,8923.076923,3826,880,210000.0,37860.0,20.6,22.02380952,1.465375749,79.32573128,7.0,7.609122807,1.885447698,2.8717665,0.870236147,31.68654355
Chadwell Heath,E05000029,293.4378378,2970.588235,3685,776,240500.0,38860.0,19.5,24.33333333,1.604042289,72.40704501,6.8,7.108108108,55.97450742,2.260909461,0.918061898,38.04450355
Eastbrook,E05000030,305.9482759,3014.285714,3711,579,240000.0,42780.0,18.5,20.36363636,1.20807783,58.30985915,5.9,7.887916667,50.43417889,2.30571916,1.060457937,25.67453043
Eastbury,E05000031,315.6670659,8357.142857,3764,825,220000.0,37720.0,20.0,22.32876712,1.445579848,71.18557578,6.4,8.112745098,17.10893532,2.731589089,0.782771536,34.9326361
Gascoigne,E05000032,300.6715328,11409.09091,3778,1075,200000.0,34140.0,25.2,22.85714286,1.317598533,89.78810857,5.9,7.820168067,20.78459309,3.232882536,0.541011841,43.23225216
Goresbrook,E05000033,302.2272727,8730.769231,3896,870,205000.0,38130.0,18.8,23.8961039,1.155555556,77.30234196,6.3,6.932432432,14.07856348,2.455199663,0.836768538,34.32616823
Heath,E05000034,297.3286885,5425.0,4049,908,215000.0,36080.0,17.6,23.42465753,1.120479416,83.10502283,6.7,7.471153846,36.32988948,2.652043746,0.73917072,38.75701647
Longbridge,E05000035,337.7835227,7218.75,3278,415,312750.0,46520.0,25.0,10.625,0.849229075,57.51343971,4.6,8.110465116,28.32249935,3.060909897,1.133870968,20.66949142
Mayesbrook,E05000036,305.4440299,5473.684211,3608,783,212000.0,36280.0,16.2,22.36111111,1.326969365,74.03855375,7.0,7.609610918,44.75723751,2.49590147,0.816632757,37.35312244
Parsloes,E05000037,312.2058394,8250.0,3551,788,213000.0,36640.0,16.0,23.33333333,1.179408138,63.59252562,7.1,8.303030303,17.40086046,2.695405293,0.834517232,35.44978032
River,E05000038,300.1892857,3055.555556,3587,798,205500.0,38390.0,19.5,21.75675676,1.263565081,74.99563471,5.5,7.426470588,20.48583218,3.009724388,0.834971025,32.25314769
Thames,E05000039,306.9984733,1367.088608,3512,851,219000.0,37400.0,24.4,20.78651685,1.232495345,84.86686889,5.6,7.661764706,43.83227797,2.133878387,0.720859671,39.18909142
Valence,E05000040,302.9649254,7653.846154,3536,723,215000.0,38080.0,17.8,22.75362319,1.576129032,70.74531686,7.6,7.515768194,11.7891087,3.221850725,0.846295323,36.10691584
Village,E05000041,301.5692308,5166.666667,4093,864,202500.0,36740.0,17.9,25.15151515,1.452914022,85.58558559,6.1,7.095289855,47.04385632,2.686579749,0.754465295,39.10238268
Whalebone,E05000042,310.8455285,6656.25,3639,655,235000.0,42530.0,22.4,14.92063492,1.130006124,79.35632184,4.9,7.749421832,16.03445908,2.903827444,0.971543692,25.59756779
Brunswick Park,E05000043,339.3390558,5140.625,5440,722,435000.0,53440.0,34.4,9.382716049,0.831678895,49.91353092,4.7,7.54,28.03309075,2.887348973,1.269351378,13.44047008
Burnt Oak,E05000044,313.5469751,8690.47619,5159,1318,250000.0,39000.0,24.7,19.0990991,1.179680213,62.06082712,6.1,7.4328125,18.90639222,3.586326773,0.816489362,27.42324111
Childs Hill,E05000045,335.65,6483.870968,5916,843,507500.0,52190.0,43.7,13.63636364,1.116818458,84.84012416,5.1,7.475609756,15.13376136,4.537207379,0.828779599,18.48594801
Colindale,E05000046,307.730814,6596.153846,4830,1030,302500.0,39990.0,30.8,18.9010989,1.341198044,53.99257196,4.7,7.133333333,19.84762086,2.495852252,0.812241653,27.77733885
Coppetts,E05000047,343.4721212,6407.407407,6006,1000,335000.0,50910.0,40.6,13.53658537,0.905679612,80.34894399,5.0,7.052083333,40.34324367,2.903866138,0.962723086,17.68333409
East Barnet,E05000048,337.4255556,4263.157895,6063,779,368000.0,53550.0,36.5,11.82926829,0.558902836,45.65098302,4.5,7.277777778,34.84631504,2.771772128,1.177308222,12.82628631
East Finchley,E05000049,350.0976378,6420.0,5952,696,437500.0,55480.0,49.6,12.10526316,0.798442368,44.08681712,4.7,7.395082583,37.77427614,2.625567336,0.817853379,19.83251321
